     ID  RA         DEC    z    f24[mJy]f8[uJy] R[Vega] epoch galid
      34 259.2861  59.2281 0.646 5.420 1413.95 21.05 go2   1
      39 259.4610  58.7959 2.550 5.100  971.89 23.27 go2   2
      42 259.4937  59.4714 1.950 4.960  680.00 25.50 go1  33
      45 257.9479  58.9778 *0.800 4.840 1799.70 21.02 extra  19
      55 258.7774  58.6610 0.791 4.130  275.76 20.74 go2   3
      78 258.9091  59.4279 2.650 3.200  268.00 25.50 go1  28
     110 258.0642  58.8745 1.000 1.810  200.00 22.98 go1  42
     133 258.6404  59.3554 0.900 2.150  155.00 22.12 go1   8
     159 0  0 0 0  0 0 0    0
     168 259.4795  59.4792 0.240 1.820  486.20 20.18 go2   5
	 180 0  0 0 0  0 0 0    0
     184 0  0 0 0  0 0 0    0
     213 258.3987  59.4560 1.220 1.650  364.98 23.42 go2   7
     224 259.2324  59.4278 1.470 1.570  493.13 20.54 go2   8
	 227 0  0 0 0  0 0 0    0
     268 258.0370  59.5069 1.690 1.480  366.19 22.93 go2   9
     277 258.5863  58.9174 1.060 1.430  138.96 21.30 go2  10
     279 258.0711  58.8030 0.952 1.430  127.00 24.15 go1  34
     283 258.7428  59.4032 0.940 1.360  131.00 22.65 go1   5
     289 258.4584  58.9492 1.860 1.450   93.00 23.74 go1  12
     298 258.7033  59.4798 3.490 1.370  163.49 25.50 go2  11
     322 0  0 0 0  0 0 0    0
     324 259.3155  59.1009 0.955 1.230  271.82 20.79 go2  13
     331 258.7740  59.3056 1.030 1.320  455.40 22.04 go2  14
     350 258.9613  59.3876 0.940 1.150  159.81 22.85 go2  15
     351 0  0 0 0  0 0 0    0
     358 259.5295  59.4937 0.810 1.110   86.80 22.24 go2  17
     369 258.7118  59.4425 1.236 1.130  106.89 22.32 go2  18
     394 258.3152  59.2023 0.920 1.100  108.45 22.08 go2  19
     397 258.7744  59.1547 1.350 1.120  270.04 23.80 go2  20
     419 258.9383  59.0941 0.830 1.060  243.73 22.85 go2  21
     429 259.0493  59.2037 2.150 1.100    0.00 24.30 go1  13
     446 258.5378  59.2968 0.820 1.030  283.27 21.82 go2  22
     463 258.6884  58.9153 2.440 1.110  169.12 25.50 go2  23
	 464 0  0 0 0  0 0 0    0
     472 259.5694  59.3266 0.920 1.030   62.03 22.21 go2  24
     488 258.7994  58.8262 0.693 1.080  116.94 21.16 go2  25
     495 258.6376  58.9722 0.750 1.050  202.84 21.84 go2  26
     505 258.9971  59.4592 1.650 1.000  187.78 24.91 go2  27
     506 0  0 0 0  0 0 0    0
     509 258.5919  59.4706 2.260 0.980  136.41 25.50 go2  28
     512 259.2319  59.1795 0.990 0.900  272.03 23.21 go2  29
     521 258.4223  58.9510 2.060 1.000  129.09 25.50 go2  30
     530 258.4046  58.7770 0.890 0.910  102.29 22.18 go2  31
     532 258.8585  58.9424 1.540 0.980  185.76 22.70 go2  32
     537 259.4971  59.3656 0.387 0.940  282.17 20.51 go2  33
     542 258.1904  59.5373 0.907 0.900   93.60 22.06 go2  34
     544 258.2820  58.7369 0.976 0.910  227.19 23.03 go2  35
     546 258.0670  59.1895 1.070 0.930  119.71 22.08 go2  36
     549 259.1201  59.4891 0.947 0.980   96.82 21.54 go2  37
     562 258.1651  58.9986 0.545 1.010  281.60 20.90 go2  38
    7967 259.6321  59.8881 *0.700 8.270 1241.06 20.56 extra  21
    7985 258.3562  60.1223 2.780 4.870  947.04 22.57 go2  39
    8034 258.0428  60.3161 0.950 3.030  216.00 22.10 go1  49
    8040 258.3002  60.1445 0.759 2.880  529.60 25.50 go2  40
    8069 258.7515  59.9365 0.704 2.330  972.06 20.05 go2  41
    8071 258.1810  60.1139 0.980 2.380  782.36 22.10 go2  42
    8098 259.0333  60.1108 1.070 2.020  292.55 21.83 go2  43
    8107 259.1610  59.8290 0.939 1.840  444.18 22.17 go2  44
    8121 258.3453  60.1790 1.210 1.890  685.87 23.43 go2  45
	8135 0  0 0 0  0 0 0    0
    8157 259.6692  60.1598 1.700 1.660  563.38 25.50 go2  46
    8172 259.2048  59.8218 1.756 1.460  798.68 23.06 go2  47
    8179 259.0622  60.2257 0.590 1.530  274.19 20.87 go2  48
    8184 258.1116  59.9982 0.990 1.650  140.00 22.33 go1   7
    8185 0  0 0 0  0 0 0    0
    8192 258.2244  60.0836 3.060 1.460  214.24 23.09 go2  50
    8196 258.7926  60.1654 2.600 1.500  149.00 22.45 go1  29
    8204 258.6703  59.9719 0.849 1.390  222.55 22.83 go2  51
    8207 258.7022  59.7781 0.840 1.520   91.00 22.11 go1   4
    8224 0  0 0 0  0 0 0    0
    8226 258.0193  60.2755 2.100 1.420  206.90 20.95 go2  53
    8233 259.3814  59.6761 0.991 1.320  398.37 21.92 go2  54
    8242 258.6380  59.6531 2.450 1.310   88.00 22.72 go1  30
    8245 258.9014  59.6041 2.700 1.330    0.00 25.50 go1  31
    8251 258.0901  60.0593 1.940 1.310  249.00 23.22 go2  55
    8253 258.7824  60.2313 0.953 1.250  440.44 21.78 go2  56
    8268 259.1028  59.6312 0.800 1.240  218.00 22.36 go1  51
    8308 259.1433  60.2621 0.370 1.260  242.20 20.29 go2  57
    8311 258.8656  60.1240 1.172 1.170  229.14 22.08 go2  58
    8315 0  0 0 0  0 0 0    0
    8325 259.1821  60.3370 0.608 1.130  129.64 21.05 go2  60
	8327 0  0 0 0  0 0 0    0
    8328 259.0280  59.7486 1.020 1.140  129.53 22.33 go2  61
    8342 258.5479  60.1859 1.600 1.170  119.00 23.51 go1  15
    8360 259.2185  59.5922 1.500 1.040  120.90 22.07 go2  62
    8371 258.3544  59.7660 0.350 1.120  381.58 20.01 go2  63
    8375 258.6404  59.8727 0.870 1.160  108.18 21.50 go2  64
    8377 259.3897  59.7779 0.840 1.030   74.08 22.17 go2  65
    8384 259.1985  60.2992 0.917 1.090  340.09 22.39 go2  66
    8387 259.5117  60.2561 0.913 1.060  151.71 21.42 go2  67
    8388 258.5018  60.2359 1.140 1.050  173.11 21.42 go2  68
    8392 258.4330  59.9539 1.900 1.010  222.98 25.50 go2  69
    8400 258.3079  59.9183 1.510 1.000  243.87 20.11 go2  70
    8401 258.1603  59.7093 0.561 1.020  127.96 20.42 go2  71
    8405 258.8655  60.2920 1.162 1.050  123.08 21.28 go2  72
    8407 259.0537  60.3302 1.085 1.000  242.28 24.26 go2  73
    8409 259.4000  60.2611 0.746 1.090  100.93 21.83 go2  74
    8411 258.5139  60.2824 2.060 0.970  279.10 23.69 go2  75
    8413 258.9404  59.8656 2.180 0.970  139.39 25.50 go2  76
    8424 259.0913  59.9477 1.590 1.100   62.29 22.95 go2  77
    8430 258.3886  60.1720 0.670 0.970  235.20 22.03 go2  78
    8450 259.6080  59.8981 1.000 0.960   86.02 21.38 go2  79
    8462 258.2898  60.1377 1.010 0.990  130.55 21.64 go2  80
    8465 0  0 0 0  0 0 0    0
    8477 258.4349  60.2587 1.840 0.980  251.12 22.16 go2  82
    8479 258.2590  59.9166 1.300 0.990   70.53 24.23 go2  83
    8493 259.5211  60.1424 1.800 0.960   24.00 23.25 go1  16
    8495 258.7039  59.8941 1.280 0.940  363.68 22.79 go2  84
    8499 258.0688  59.9529 0.600 0.910  159.67 20.51 go2  85
    8507 258.3743  59.7428 0.760 0.910  112.95 20.89 go2  86
    8521 258.0789  60.1677 1.190 0.900  555.40 24.00 go2  87
    8526 259.1183  59.7396 0.840 0.920   80.70 22.44 go2  88
    8532 259.0970  59.6131 0.860 0.910   73.18 21.73 go2  89
    8543 259.5523  59.6564 0.649 0.940   81.69 20.65 go2  90
    8550 259.5608  59.9348 0.870 0.920  255.50 22.66 go2  91
   15678 260.8684  59.4964 1.340 8.100 1699.56 22.15 go2  92
   15690 259.8435  60.2489 0.850 5.660  879.13 22.20 go2  93
   15755 259.6456  59.7594 0.736 2.740  521.46 20.72 go2  94
