# col1     col2        col3       col4 col5  col6 col7  id    x         y         ra         dec       faper_f160w eaper_f160w faper_f140w eaper_f140w f_f160w    e_f160w  w_f160w  f_u       e_u      w_u f_f435w   e_f435w  w_f435w  f_b       e_b      w_b      f_g       e_g      w_g  f_v       e_v      w_v      f_f606w   e_f606w  w_f606w  f_r        e_r      w_r      f_rs       e_rs     w_rs f_i        e_i      w_i      f_f775w   e_f775w  w_f775w  f_z        e_z      w_z      f_f850lp  e_f850lp w_f850lp f_f125w    e_f125w  w_f125w  f_j        e_j      w_j      f_f140w    e_f140w  w_f140w  f_h        e_h      w_h      f_ks       e_ks     w_ks     f_irac1    e_irac1  w_irac1  f_irac2    e_irac2  w_irac2  f_irac3    e_irac3  w_irac3  f_irac4    e_irac4    w_irac4  tot_cor  wmin_ground wmin_hst wmin_wfc3 wmin_irac z_spec star_flag kron_radius a_image b_image theta_j2000 class_star flux_radius fwhm_image flags irac1_contam irac2_contam irac3_contam irac4_contam contam_flag f140w_flag use_phot near_star nexp_f125w nexp_f140w nexp_f160w Separation          
  1  189.1909637 62.1316681 1.43 12.41 0.19 1080  1375  11391.516 3831.061  189.191147 62.131743 14.613814   0.039421    10.538857   0.062665    26.916867  0.164557 0.41271  1.388267  0.055544 1.0 1.623131  0.037524 0.745796 1.647932  0.041654 0.819389 1.378703  0.060702 1.0  1.862895  0.033868 0.761825 2.317693  0.027365 0.816528 2.603589   0.063098 0.822402 3.662961   0.115365 1.0  4.277232   0.099304 0.889051 4.254385  0.041712 0.849788 7.536268   0.147009 0.826161 7.039311  0.055122 0.764277 14.593026  0.063381 0.308847 -99.0      -99.0    0.0      19.6617    0.115422 0.648859 -99.0      -99.0    0.0      -99.0      -99.0    0.0      78.103446  0.294339 0.446512 90.684637  0.250297 0.393767 78.787207  1.28465  1.0      72.16377   1.020674   0.690865 1.050771 0.0         0.308847 0.308847  0.393767  -1.0   0         3.5         5.572   5.001   45.3        0.03       5.115       9.32       3     0.255563     0.303756     0.289343     0.506625     1           0          1        0         4.0        4.0        4.0        0.4096950973465129  
  10 189.2800446 62.2355843 2.49 12.72 0.0  13698 19082 8905.835  10061.575 189.27995  62.23558  3.553164    0.025634    2.297012    0.061364    11.248068  0.162107 0.976074 -0.005883 0.055564 1.0 0.138004  0.060287 0.853475 0.194255  0.056745 0.705104 0.442265  0.061009 1.0  0.455541  0.036876 0.769112 0.42719   0.045093 0.888249 0.632449   0.056884 0.810145 0.552833   0.118276 1.0  0.730463   0.117148 0.850778 0.883387  0.07139  0.856978 1.768079   0.162946 0.837012 1.433088  0.087392 0.898189 4.660615   0.062476 0.938944 4.162147   0.278623 0.2255   7.365334   0.194257 0.676669 12.337938  0.524775 0.521627 22.853948  0.280083 0.648929 48.171928  0.28362  1.0      63.103715  0.276888 1.0      82.155901  1.636676 0.867523 68.389356  1.635345   0.860635 1.019656 0.2255      0.676669 0.938944  1.0       2.49   0         4.23        6.876   5.842   44.4        0.03       8.241       0.0        0     0.035877     0.036932     0.068459     0.090318     0           0          1        0         11.0       4.0        12.0       0.15939896711222967 
  11 189.088623  62.2855568 2.0  12.56 0.23 21391 28810 14244.369 13067.613 189.088717 62.28562  1.207527    0.036908    -99.0       -99.0       7.101165   0.364981 0.470827 0.124329  0.110743 1.0 0.274126  0.107943 0.918713 0.1581    0.111159 0.556869 -0.045157 0.110168 1.0  0.046717  0.079386 0.992151 0.179866  0.084031 0.882702 0.175536   0.110725 0.745788 0.224051   0.199716 1.0  0.473404   0.218401 0.915313 0.449807  0.131857 0.866921 0.208854   0.295323 0.808168 0.723879  0.169935 0.819751 3.50359    0.161178 0.486843 -99.0      -99.0    0.0      -99.0      -99.0    0.0      -99.0      -99.0    0.0      -99.0      -99.0    0.0      51.152796  0.389683 0.409266 71.251468  0.395648 0.54592  88.011499  2.748136 0.569655 61.382907  2.731529   0.661525 1.0      0.0         0.470827 0.470827  0.409266  -1.0   0         4.55        18.785  4.031   -44.7       0.0        14.888      0.0        3     0.075161     0.073126     0.090543     0.09948      0           0          1        0         6.0        0.0        6.0        0.27664626454748326 
  12 189.0006714 62.1797218 1.99 12.79 0.79 5328  7693  16724.898 6724.411  189.000622 62.179783 6.450927    0.040958    5.190119    0.050478    9.306751   0.138958 0.382316 0.943551  0.061462 1.0 0.711059  0.028039 0.819498 0.738058  0.039842 0.730243 0.720408  0.055749 1.0  0.84209   0.027978 0.916716 1.019325  0.020534 0.88966  1.015313   0.067912 0.8426   1.347077   0.099327 1.0  1.397432   0.089941 1.0      1.531012  0.033286 0.81874  2.094912   0.118479 0.903716 2.136627  0.041901 0.811509 5.074703   0.0511   0.291501 5.608571   0.238193 0.206445 7.584376   0.072824 1.0      8.901873   0.445721 0.258947 11.955269  0.369944 0.163631 24.255849  0.29235  0.390422 34.668383  0.219471 0.41251  68.384536  1.023499 1.0      143.572427 1.210767   0.828381 1.069944 0.163631    0.291501 0.291501  0.390422  2.002  0         3.98        3.97    3.724   71.2        0.86       3.44        5.17       0     0.152241     0.086206     0.054362     0.085886     0           0          1        0         3.0        10.0       4.0        0.2354347790184288  
  13 189.3938293 62.2897224 0.64 11.7  0.07 22100 29405 5729.077  13320.438 189.393905 62.289806 57.729996   0.04032     -99.0       -99.0       221.168217 0.419349 0.394509 0.857661  0.07668  1.0 1.057987  0.075843 0.789805 1.859522  0.076776 0.757658 2.682135  0.093366 1.0  4.665364  0.085378 0.414493 6.828975  0.061452 0.70048  14.185971  0.098548 0.893152 15.903491  0.182206 1.0  32.549399  0.212062 0.688731 25.756726 0.085388 0.87733  54.901531  0.235823 0.866328 47.433812 0.108536 0.852856 124.253722 0.149051 0.241608 121.52687  0.384837 0.293809 -99.0      -99.0    0.0      249.17716  0.688478 0.702636 436.119729 0.556114 0.288548 507.713511 0.529558 1.0      353.196668 0.454814 0.956624 382.40941  1.340373 0.932735 318.757519 1.268378   1.0      1.0      0.288548    0.241608 0.241608  0.956624  0.6402 0         3.5         17.347  8.026   20.6        0.03       11.347      15.08      0     1.78E-4      1.56E-4      7.1E-4       0.002484     0           0          1        0         4.0        0.0        4.0        0.32655068651731617 
  14 189.0936737 62.2622223 0.64 11.68 0.07 18229 24167 14107.499 11671.895 189.093726 62.262363 37.640062   0.025325    31.957433   0.051147    153.710554 0.271134 1.0      9.876381  0.07847  1.0 14.630874 0.071847 1.0      15.667205 0.070368 0.754232 16.256001 0.075107 1.0  21.188992 0.058932 0.861447 30.979987 0.054824 1.0      38.342782  0.10075  0.867977 42.495504  0.149126 1.0  68.498438  0.184017 0.797149 60.284866 0.085253 1.0      83.881159  0.247662 0.810694 75.824197 0.106843 1.0      115.3395   0.079824 0.957133 -99.0      -99.0    0.0      132.18794  0.208868 0.974012 -99.0      -99.0    0.0      -99.0      -99.0    0.0      193.347762 0.385212 0.417321 139.947955 0.264636 0.555311 169.25419  2.119462 0.584007 196.850684 2.205791   0.684848 1.0      0.0         0.957133 0.957133  0.417321  -1.0   0         3.5         13.348  10.948  1.2         0.03       10.781      16.83      0     2.28E-4      3.54E-4      6.82E-4      0.002759     0           0          1        0         11.0       6.0        12.0       0.5140443110762365  
  15 189.2973785 62.2252769 2.0  12.86 0.22 12238 16827 8418.756  9445.204  189.297354 62.2253   5.592436    0.026234    4.390666    0.062698    25.875264  0.222454 0.931938 0.495556  0.079713 1.0 0.319119  0.087952 0.856611 0.869084  0.085946 0.696685 1.061065  0.095541 1.0  1.702819  0.066946 1.0      0.990637  0.066341 0.876671 1.494444   0.092632 0.848316 1.521972   0.167534 1.0  2.75994    0.181535 0.857784 1.939298  0.105866 0.832475 4.46135    0.244458 0.875646 3.356332  0.134698 0.807653 16.441024  0.088481 1.0      16.968624  0.402424 0.228084 20.576937  0.290095 0.648172 28.663108  0.80313  0.530365 47.294627  0.445619 0.578777 79.118596  0.224651 1.0      92.221507  0.230136 1.0      119.976364 1.74826  0.895101 77.056641  1.616978   0.907463 1.004295 0.228084    0.648172 0.931938  1.0       1.9958 0         3.65        11.996  7.532   76.3        0.03       11.423      0.0        3     0.379402     0.404143     0.281684     0.347146     0           0          1        0         12.0       4.0        12.0       0.09276241950739511 
  16 189.1542511 62.1477776 2.02 12.38 0.11 2137  2896  12425.682 4800.005  189.154234 62.147877 1.381075    0.041078    1.046939    0.050478    7.75615    0.341036 0.380092 0.165588  0.069867 1.0 0.5138    0.108548 0.828546 0.444318  0.083501 0.83203  0.590584  0.077725 1.0  0.715264  0.069739 0.761461 0.609615  0.0825   0.835187 0.572399   0.0877   0.963985 0.776735   0.182894 1.0  0.93071    0.193892 0.85764  0.909094  0.128488 0.832632 1.624567   0.277429 0.839375 1.398008  0.163132 0.811262 5.047007   0.186354 0.332137 5.287268   0.415545 0.287195 5.955482   0.283485 1.0      7.337539   0.691695 0.440718 14.524637  0.549097 0.304042 34.307459  0.590289 0.440083 46.741136  0.449619 0.406222 66.354711  1.37404  1.0      45.510531  1.34912    0.893005 1.005225 0.287195    0.332137 0.332137  0.406222  -1.0   0         4.85        11.128  4.432   24.8        0.0        11.868      0.0        0     0.034289     0.018984     0.002373     0.00896      0           0          1        0         4.0        7.0        4.0        0.3589939031451587  
  17 189.0671234 62.2536125 2.57 12.92 0.6  16474 22904 14850.514 11161.873 189.067164 62.253834 2.701167    0.025325    1.916013    0.0522      4.850253   0.105774 1.0      0.133235  0.053873 1.0 0.149676  0.03216  0.964915 0.149589  0.044061 0.613307 0.29026   0.043525 1.0  0.273533  0.025877 0.992151 0.477791  0.025326 0.905963 0.592012   0.056098 0.9296   0.599813   0.088298 1.0  0.643202   0.08477  0.970577 0.728082  0.040166 0.871032 0.995399   0.11078  0.93852  1.092139  0.05055  0.86371  2.411349   0.035645 0.928037 -99.0      -99.0    0.0      3.484801   0.093732 0.93509  -99.0      -99.0    0.0      -99.0      -99.0    0.0      31.442212  0.245431 0.38766  47.05744   0.218666 0.473503 53.112356  7.607054 0.456519 91.221901  5.485604   0.517973 1.050713 0.0         0.928037 0.928037  0.38766   -1.0   0         4.08        4.805   4.272   -79.0       0.08       4.921       0.0        2     0.160231     0.160251     0.124655     0.293368     0           0          1        0         12.0       6.0        12.0       0.8002980648488538  
  18 189.3191223 62.2786102 1.8  12.46 0.32 20465 27567 7814.459  12650.811 189.319127 62.278714 8.747867    0.040516    6.165821    0.064885    20.072323  0.208063 0.390706 0.336748  0.061709 1.0 0.17081   0.048265 0.69956  0.224314  0.059546 0.709653 0.669634  0.071442 1.0  0.288844  0.036608 0.763069 0.313219  0.0376   0.671191 -1.32E-4   0.071094 0.842276 0.676915   0.115776 1.0  1.00081    0.117698 0.851122 0.700773  0.051125 0.877901 1.923583   0.164486 0.807466 1.332175  0.065226 0.847092 9.342028   0.08734  0.252404 12.057801  0.352678 0.146981 14.330222  0.148881 0.605222 25.317506  0.697433 0.336268 52.184394  0.37983  0.343238 119.387183 0.244588 0.885075 166.831544 0.248579 0.984792 155.82277  1.106837 1.0      105.17095  1.108133   1.0      1.03407  0.146981    0.252404 0.252404  0.885075  0.5573 0         3.73        8.733   4.08    -54.1       0.03       6.56        6.38       3     0.419286     0.23844      0.354697     0.461242     0           0          1        0         3.0        4.0        4.0        0.3737628799134151  
