# col1     col2       col3        col4 col5  col6 col7  id    x         y         ra        dec        faper_f160w eaper_f160w faper_f140w eaper_f140w f_f160w    e_f160w  w_f160w  f_u38      e_u38    w_u38    f_u        e_u      w_u      f_f435w    e_f435w  w_f435w  f_b        e_b      w_b      f_v        e_v      w_v      f_f606wcand e_f606wcand w_f606wcand f_f606w    e_f606w  w_f606w  f_r        e_r      w_r      f_rc       e_rc     w_rc     f_f775w    e_f775w  w_f775w  f_i        e_i      w_i      f_f814wcand e_f814wcand w_f814wcand f_f850lp   e_f850lp w_f850lp f_f850lpcand e_f850lpcand w_f850lpcand f_f125w    e_f125w  w_f125w  f_j        e_j      w_j      f_tenisj   e_tenisj w_tenisj f_f140w    e_f140w  w_f140w  f_h        e_h      w_h      f_tenisk    e_tenisk w_tenisk f_ks       e_ks     w_ks     f_irac1     e_irac1  w_irac1  f_irac2     e_irac2  w_irac2  f_irac3     e_irac3  w_irac3  f_irac4     e_irac4  w_irac4  f_ia427    e_ia427  f_ia445    e_ia445  f_ia505    e_ia505  f_ia527    e_ia527  f_ia550    e_ia550  f_ia574    e_ia574  f_ia598    e_ia598  f_ia624    e_ia624  f_ia651    e_ia651  f_ia679    e_ia679  f_ia738    e_ia738  f_ia767    e_ia767  f_ia797    e_ia797  f_ia856    e_ia856  tot_cor  wmin_ground wmin_hst wmin_wfc3 wmin_irac z_spec  star_flag kron_radius a_image b_image theta_j2000 class_star flux_radius fwhm_image flags irac1_contam irac2_contam irac3_contam irac4_contam contam_flag f140w_flag use_phot near_star nexp_f125w nexp_f140w nexp_f160w Separation          
  1  53.1833344 -27.7763882 2.69 12.69 0.39 15768 29642 7083.087  12322.602 53.183358 -27.776374 2.349383    0.017599    1.97165     0.06841     4.057778   0.082066 1.0      0.573626   0.103956 0.855128 0.556086   0.015902 0.500235 1.131983   0.032353 0.769938 1.228576   0.037    0.945704 1.489041   0.043108 0.93747  1.827916    0.030692    0.820994    1.749387   0.02576  0.792847 1.529418   0.031616 0.163207 1.712887   0.047455 0.982454 1.973779   0.044799 0.702576 1.936733   0.277135 0.980622 2.095983    0.030812    0.409433    2.187539   0.056253 0.811924 2.370123     0.13061      0.528199     2.602168   0.064446 1.0      2.526277   0.209591 0.714726 2.271856   0.204212 0.888596 3.42989    0.118155 1.0      3.376691   0.35144  0.599148 4.890088    0.294632 0.925194 5.34879    0.311775 0.876857 7.660906    0.164772 0.361506 9.15977     0.164153 0.525237 10.512037   1.235388 0.963217 8.713833    1.220352 0.827416 0.726534   0.143266 1.467222   0.106223 1.352656   0.106131 1.406308   0.053857 1.561086   0.086715 1.640215   0.1229   1.716264   0.053826 1.663827   0.057662 1.707188   0.045695 1.673317   0.059209 1.796551   0.071099 1.846903   0.173902 1.586887   0.198319 1.977532   0.260083 1.051934 0.163207    0.409433 1.0       0.361506  -1.0    0         3.5         6.517   4.116   32.6        0.08       4.497       0.0        3     1.62428      1.917211     2.519363     4.687188     1           0          1        0         87.0       75.0       129.0      0.09090562431049488 
  12 53.1573334 -27.8700008 1.6  12.37 0.98 4526  8422  8465.979  6700.5    53.157338 -27.870085 20.224305   0.028841    16.654796   0.090886    28.491615  0.10444  0.372339 0.622944   0.103301 0.826183 0.768767   0.011806 0.794593 1.041798   0.02459  0.886707 1.059063   0.030235 0.989812 1.123501   0.042433 1.0      -99.0       -99.0       0.0         1.398611   0.020759 0.812251 1.390218   0.020871 0.687862 1.445413   0.043036 0.998624 2.369672   0.033525 0.834646 3.405949   0.256042 1.0      2.841341    0.021354    0.567114    4.270904   0.045852 0.813025 4.65473      0.17078      0.205541     18.20368   0.093964 0.31296  19.336439  0.191182 0.560967 20.478245  0.188488 0.819563 23.631892  0.128039 0.566552 43.495301  0.32292  0.619534 56.674363   0.287013 0.900231 65.836066  0.355863 0.443731 132.759853  0.206114 0.423677 219.800613  0.277204 0.299429 368.478863  0.836631 1.0      617.248749  0.793622 1.0      1.236824   0.142509 1.05244    0.097694 1.303144   0.111842 1.083332   0.053113 1.198502   0.081633 1.142314   0.125989 1.348386   0.055686 1.440479   0.056694 1.432931   0.041111 1.525974   0.054609 2.011136   0.059994 2.04993    0.179581 2.397701   0.204653 3.055062   0.258609 1.070944 0.687862    0.205541 0.31296   0.299429  1.603   0         3.5         4.321   4.11    -43.5       0.91       3.385       3.88       0     0.016581     0.014086     0.00635      0.027894     0           0          1        0         9.0        4.0        8.0        0.3034732950609217  
  14 53.0602913 -27.8758335 1.87 12.2  0.5  3866  7083  13613.469 6342.052  53.060287 -27.876049 2.835524    0.025357    -99.0       -99.0       5.408686   0.112271 0.481675 0.229412   0.125005 0.730077 0.092201   0.015881 0.824835 0.155227   0.031352 1.0      0.191389   0.037615 0.95006  0.257591   0.04396  0.898368 -99.0       -99.0       0.0         0.231505   0.028053 0.815419 0.214311   0.034221 0.254215 0.297748   0.048405 0.887763 0.509551   0.047106 0.775027 0.447379   0.29426  0.859719 0.631307    0.021774    1.0         0.889393   0.066134 0.716472 1.157449     0.119707     0.766938     3.203379   0.101649 0.490273 3.562706   0.263606 0.361004 2.837938   0.232086 0.748653 -99.0      -99.0    0.0      6.241981   0.41806  0.455275 11.223757   0.345747 0.857242 12.161166  0.461005 0.361886 27.054275   0.194521 0.410473 34.948725   0.203946 0.305047 37.309702   1.016062 0.877466 24.239551   0.866279 0.810299 0.214211   0.138857 0.054571   0.110182 0.163591   0.115135 0.220434   0.055597 0.098093   0.089858 -0.229419  0.1271   0.173582   0.053419 0.196815   0.062874 0.153065   0.045304 0.245886   0.060113 0.415862   0.068138 0.23293    0.16282  0.390143   0.207355 0.356568   0.327667 1.056627 0.254215    0.481675 0.481675  0.305047  -1.0    0         3.77        5.032   4.217   5.7         0.03       5.357       0.0        0     0.064696     0.037769     0.038604     0.048515     0           0          1        0         14.0       0.0        14.0       0.7759206689665777  
  15 53.1697502 -27.8238888 2.11 12.17 0.39 9474  18790 7803.633  9473.653  53.169806 -27.823862 2.687516    0.020355    2.283407    0.06841     7.661031   0.1431   0.74752  0.38152    0.157865 0.820226 0.484258   0.021669 0.666472 1.115053   0.046854 1.0      0.888564   0.04942  0.958337 1.114086   0.058116 0.972694 1.59238     0.052201    0.773113    1.594661   0.038577 0.962982 1.328353   0.030681 0.607915 1.407072   0.065324 0.96062  2.088271   0.064716 0.917082 1.633341   0.358261 0.989929 2.312878    0.058099    0.313677    2.694511   0.088333 0.896935 2.873902     0.292462     0.286956     5.394057   0.122921 0.748769 5.078651   0.256623 1.0      5.84815    0.288142 0.976894 6.555944   0.195009 1.0      7.499453   0.557146 0.589688 12.491666   0.480904 0.885633 13.39088   0.482259 0.73936  13.26395    0.227049 0.622208 13.552507   0.248603 0.289843 16.560168   1.801511 0.768268 9.81007     1.759692 0.699646 0.694012   0.182737 0.676495   0.147383 1.086155   0.154869 1.261692   0.081367 1.256393   0.118513 1.624269   0.174529 1.30937    0.074249 1.297748   0.083856 1.292963   0.06298  1.214626   0.078932 1.48673    0.094527 1.560899   0.247633 2.002497   0.278075 2.290287   0.35779  1.023703 0.607915    0.286956 0.74752   0.289843  2.13002 0         3.9         7.736   5.439   16.6        0.03       7.747       0.0        3     2.107944     2.540314     2.609472     3.676591     1           0          1        0         20.0       8.0        20.0       0.20216303377832023 
  19 53.0734596 -27.7641659 1.83 11.74 0.0  17397 32048 12922.958 13044.58  53.073357 -27.764346 3.437886    0.021767    2.666787    0.089844    13.455644  0.184366 0.653671 -0.460333  0.147601 0.944012 0.196332   0.021524 0.869974 0.16627    0.067405 0.910887 0.30729    0.052446 0.91089  0.355684   0.071219 0.859275 -99.0       -99.0       0.0         0.347427   0.057612 0.813967 0.497561   0.025057 1.0      0.52293    0.06818  0.927478 0.746554   0.094928 0.803519 1.143943   0.378716 0.943542 0.949941    0.045623    0.95898     1.428549   0.128242 0.802226 1.405838     0.333154     0.416888     7.158525   0.182863 0.637826 6.189718   0.347888 0.678618 7.047241   0.32256  0.870313 10.512766  0.351644 0.579774 15.280014  0.470447 1.0      26.094199   0.532747 0.901084 26.64773   0.564507 0.539762 56.930321   0.335903 0.470364 71.901427   0.258682 0.559632 66.975599   0.992744 1.0      41.112558   0.95224  0.988953 0.266187   0.184677 6.07E-4    0.147632 0.623477   0.160027 0.371684   0.086533 0.225606   0.122627 0.363243   0.193    0.267394   0.086854 0.4054     0.105803 0.297794   0.078555 0.399439   0.094561 0.67475    0.1163   0.883486   0.275729 0.266983   0.346821 2.184731   0.451221 1.013261 0.859275    0.416888 0.637826  0.470364  1.83    0         3.5         10.623  6.634   -9.0        0.03       9.935       0.0        2     0.002417     -0.00204     0.006078     0.004849     0           0          1        0         18.0       4.0        18.0       0.7260803073574441  
  2  53.1452065 -27.7777786 1.1  11.61 0.17 15775 29155 9107.03   12231.729 53.145233 -27.7779   12.691419   0.017599    11.136774   0.06841     22.547446  0.105705 1.0      1.044222   0.108175 0.843537 0.833501   0.011682 0.865817 0.868275   0.032862 0.7896   0.916094   0.034493 0.911098 1.477475   0.044007 0.90891  -99.0       -99.0       0.0         1.791608   0.026686 0.78164  2.31899    0.020921 0.507424 2.450577   0.04026  0.935698 4.239687   0.045235 0.729107 6.515649   0.240442 0.975193 4.908815    0.022135    0.839408    7.550369   0.058059 0.806436 7.036611     0.126064     0.599895     16.577908  0.06629  1.0      15.870166  0.164135 0.98327  15.94401   0.193841 0.832733 19.927934  0.121536 1.0      24.651084  0.274041 0.68884  40.83988    0.316876 0.810588 41.789176  0.279098 1.0      56.713227   0.19614  0.581408 46.822907   0.205196 0.402055 32.866783   1.294797 0.820677 37.184391   1.134658 0.807049 1.161594   0.126632 0.771462   0.099876 1.107681   0.105715 1.385605   0.058141 1.725626   0.085368 1.910016   0.133129 2.006007   0.05171  2.319695   0.056983 2.5271     0.043664 2.709789   0.056548 3.163357   0.066455 4.379098   0.188827 5.346162   0.210383 6.708749   0.277288 1.033186 0.507424    0.599895 1.0       0.402055  1.097   0         3.5         6.739   6.015   69.7        0.03       5.033       6.2        3     0.025466     0.0334       0.043254     0.052233     0           0          1        0         68.0       73.0       97.0       0.44511613413996715 
  20 53.1982498 -27.7477779 1.91 12.6  0.25 19329 35127 6287.186  14036.888 53.198331 -27.747795 3.181278    0.022922    2.375074    0.087513    10.69167   0.152889 0.589453 0.671867   0.112932 0.882697 0.251509   0.0171   0.833881 0.389133   0.059479 0.862558 0.452818   0.041479 0.985758 0.531116   0.050698 0.97049  -99.0       -99.0       0.0         0.709791   0.066756 0.447013 0.744397   0.037777 0.171051 0.799245   0.053089 1.0      1.160013   0.108869 0.450439 2.015857   0.329344 0.979966 1.489821    0.071389    0.288783    1.884047   0.144781 0.464082 2.356155     0.347178     0.283052     6.494257   0.164374 0.582036 6.153528   0.205149 0.956075 6.595942   0.267117 0.951353 8.039643   0.294114 0.611074 11.588899  0.439197 0.681815 20.465519   0.442705 0.999894 20.057174  0.423042 0.796264 39.16936    0.320325 0.19646  50.874984   0.207631 0.462155 48.45586    2.732679 0.516275 30.011783   4.037962 0.374578 0.377093   0.183867 -0.085023  0.124449 0.605361   0.141967 0.54636    0.074187 0.564559   0.10032  0.551925   0.180958 0.703071   0.074676 0.728339   0.084396 0.723166   0.068907 0.74322    0.074187 0.960395   0.085457 0.679202   0.259628 1.581351   0.325847 1.408278   0.356636 1.026937 0.171051    0.283052 0.582036  0.19646   -1.0    0         3.54        8.503   5.517   66.4        0.03       8.316       0.0        0     0.077774     0.04974      0.174377     0.232172     0           0          1        0         16.0       5.0        16.0       0.2659282424017981  
  21 53.1761246 -27.7961102 0.99 11.46 0.0  12887 24857 7464.497  11137.364 53.176183 -27.796131 12.276274   0.020634    10.863278   0.084416    54.60383   0.186965 0.727452 5.471744   0.160705 0.812266 5.565585   0.021916 0.866626 3.127908   0.076334 0.917274 6.150809   0.053592 0.928241 7.878646   0.071213 0.930792 6.665335    0.079726    0.806947    6.539489   0.06572  0.807838 -99.0      -99.0    0.0      10.916058  0.069599 0.960759 13.992268  0.113695 0.723423 24.714461  0.405815 0.955349 16.545553   0.072241    0.493964    22.871387  0.143444 0.828086 22.804783    0.507513     0.232007     42.6632    0.196542 0.713064 45.37064   0.285692 0.924532 46.625884  0.321927 0.926396 48.666841  0.375474 0.656736 61.116602  0.553057 0.65543  82.357554   0.543386 0.871847 87.158125  0.473085 1.0      106.319422  0.340361 0.41366  76.202435   0.270422 0.443188 58.718353   1.430088 0.868473 58.181778   1.327189 0.919613 6.750378   0.192446 6.496563   0.134329 7.749001   0.156046 8.152112   0.078263 9.445582   0.121086 10.063551  0.178599 9.827176   0.077787 10.033934  0.094939 10.543226  0.072522 11.942401  0.080607 14.978128  0.09887  18.616136  0.276146 21.598442  0.302148 25.17003   0.421037 1.010167 0.812266    0.232007 0.713064  0.41366   0.9961  0         3.5         9.631   8.147   1.5         0.03       10.463      10.16      0     0.003567     0.003924     0.013641     0.013253     0           0          1        0         20.0       4.0        20.0       0.20048921538327436 
  22 53.0835419 -27.7463894 1.9  12.37 0.84 19476 35282 12382.618 14119.596 53.08354  -27.746432 6.732577    0.021373    5.192314    0.085655    13.290544  0.131629 0.677972 0.569056   0.110058 0.942395 0.450896   0.013095 1.0      0.602425   0.032578 0.991989 0.59683    0.040857 0.897278 0.842353   0.051678 0.842762 -99.0       -99.0       0.0         1.033571   0.028712 0.833699 1.060107   0.022085 0.763656 1.102546   0.053742 0.853548 1.774143   0.046329 0.858156 1.853266   0.291209 0.88745  1.979836    0.032435    0.482659    2.633726   0.064219 0.813819 -99.0        -99.0        0.0          6.807422   0.091358 0.650063 5.976463   0.239473 0.656846 7.529882   0.230497 1.0      10.323765  0.169088 0.637874 11.357587  0.306992 0.972316 17.339377   0.355618 0.976128 17.542633  0.39787  0.524624 30.108548   0.257693 0.75881  38.985172   0.254816 0.96551  49.036101   0.838705 1.0      75.17999    0.870768 1.0      0.147102   0.154521 0.792026   0.121048 0.577873   0.128171 0.721343   0.060554 1.018542   0.099886 0.890462   0.150962 0.919935   0.065531 0.99504    0.068941 0.97218    0.055312 1.152462   0.071901 1.299967   0.078279 1.81982    0.212483 1.530256   0.286238 1.55478    0.31027  1.031695 0.763656    0.482659 0.650063  0.75881   0.481   0         3.5         7.387   5.713   51.9        0.05       5.518       6.54       3     0.094879     0.055668     0.036842     0.029582     0           0          1        0         8.0        4.0        8.0        0.15347942741645423 
  23 53.0717926 -27.8436108 1.96 12.35 0.0  7184  14747 13009.327 8287.402  53.071693 -27.843631 3.224397    0.020659    2.36856     0.080921    9.632602   0.130052 0.725661 0.013993   0.137086 0.752532 0.064593   0.016101 0.929837 0.008945   0.052628 0.870506 0.128813   0.042893 0.90394  0.177014   0.055291 0.902628 0.038827    0.050439    0.909484    0.115175   0.039674 1.0      0.197352   0.026947 0.607824 0.197301   0.061219 0.90532  0.32605    0.064949 1.0      0.393774   0.323393 0.892696 0.377514    0.034101    1.0         0.817191   0.087672 1.0      0.619228     0.178611     0.845004     4.712439   0.12692  0.771363 4.82437    0.219525 0.904376 4.982      0.265188 0.796106 7.12681    0.241743 0.714695 11.513494  0.458446 0.555897 20.426914   0.396044 0.868239 20.009192  0.38942  1.0      46.111213   0.173538 0.919521 57.685866   0.244947 0.308841 62.121623   1.457187 0.820127 38.310838   1.603186 0.664195 -0.153568  0.159967 0.075087   0.128509 0.27351    0.140608 0.05629    0.071079 0.099777   0.104848 0.065942   0.148271 0.221478   0.069293 0.140291   0.075646 0.227427   0.058869 0.169175   0.068969 0.419352   0.080447 0.446591   0.204166 0.488591   0.227179 0.231576   0.393934 1.030391 0.607824    0.714695 0.725661  0.308841  -1.0    0         3.5         6.844   6.388   -49.1       0.03       8.09        0.0        2     0.010999     0.007328     0.007276     0.044833     0           0          1        0         22.0       4.0        22.0       0.325280800839196   
